case_id,label,actual_llm,response_time_seconds,prompt_tokens,completion_tokens,total_tokens
1d5176cf-6437-4482-976a-cc2ce7b33f01,Letter A,llama,0.988,325,142,467
1d5176cf-6437-4482-976a-cc2ce7b33f01,Letter D,gpt4o,3.827,516,135,651
1d5176cf-6437-4482-976a-cc2ce7b33f01,Letter B,gpt4o_mini,3.446,8761,116,8877
1d5176cf-6437-4482-976a-cc2ce7b33f01,Letter C,gemini,7.235,1356,120,2322
080e5cd2-e108-4c2c-9c19-a081c6db2b0b,Letter D,gpt4o,2.367,1026,127,1153
080e5cd2-e108-4c2c-9c19-a081c6db2b0b,Letter B,gpt4o_mini,4.075,25762,119,25881
080e5cd2-e108-4c2c-9c19-a081c6db2b0b,Letter A,llama,0.639,325,157,482
080e5cd2-e108-4c2c-9c19-a081c6db2b0b,Letter C,gemini,7.299,1356,119,2474
aea4acdc-5d07-4658-9ec8-4659615987ff,Letter C,gpt4o,2.622,516,113,629
aea4acdc-5d07-4658-9ec8-4659615987ff,Letter B,gpt4o_mini,3.437,8761,112,8873
aea4acdc-5d07-4658-9ec8-4659615987ff,Letter D,llama,0.448,325,159,484
aea4acdc-5d07-4658-9ec8-4659615987ff,Letter A,gemini,7.933,1356,121,2560
f89f331d-ada6-4019-80c1-bec495160cb5,Letter B,gpt4o,3.618,1366,134,1500
f89f331d-ada6-4019-80c1-bec495160cb5,Letter C,gpt4o_mini,5.058,37096,121,37217
f89f331d-ada6-4019-80c1-bec495160cb5,Letter D,llama,0.704,325,190,515
f89f331d-ada6-4019-80c1-bec495160cb5,Letter A,gemini,8.111,1347,114,2548
062d3573-9cee-4145-b891-1e33dcf57f88,Letter B,gpt4o,2.985,516,131,647
062d3573-9cee-4145-b891-1e33dcf57f88,Letter C,gpt4o_mini,3.035,8761,125,8886
062d3573-9cee-4145-b891-1e33dcf57f88,Letter D,llama,0.497,325,172,497
062d3573-9cee-4145-b891-1e33dcf57f88,Letter A,gemini,10.07,1356,116,2588
98477397-daa4-4662-8f81-6c99a02342e7,Letter A,gpt4o,3.005,516,122,638
98477397-daa4-4662-8f81-6c99a02342e7,Letter B,gpt4o_mini,3.772,8761,117,8878
98477397-daa4-4662-8f81-6c99a02342e7,Letter D,llama,0.804,325,164,489
98477397-daa4-4662-8f81-6c99a02342e7,Letter C,gemini,8.007,1356,122,2713
b5eecce1-b5c2-4a44-8f22-5b3bc1e41868,Letter A,gpt4o,4.444,516,114,630
b5eecce1-b5c2-4a44-8f22-5b3bc1e41868,Letter C,gpt4o_mini,4.256,8761,116,8877
b5eecce1-b5c2-4a44-8f22-5b3bc1e41868,Letter B,llama,0.844,325,156,481
b5eecce1-b5c2-4a44-8f22-5b3bc1e41868,Letter D,gemini,9.653,1356,114,3183
9f6bc790-369b-41f7-ab0f-32ffea5f945e,Letter B,gpt4o,3.498,1366,113,1479
9f6bc790-369b-41f7-ab0f-32ffea5f945e,Letter A,gpt4o_mini,4.369,37096,119,37215
9f6bc790-369b-41f7-ab0f-32ffea5f945e,Letter D,llama,0.886,325,176,501
9f6bc790-369b-41f7-ab0f-32ffea5f945e,Letter C,gemini,7.812,1347,113,2454
804c366a-0241-4d75-a78e-a0689a65e6b3,Letter C,gpt4o,3.747,1026,130,1156
804c366a-0241-4d75-a78e-a0689a65e6b3,Letter B,gpt4o_mini,4.848,25762,118,25880
804c366a-0241-4d75-a78e-a0689a65e6b3,Letter D,llama,0.811,325,173,498
804c366a-0241-4d75-a78e-a0689a65e6b3,Letter A,gemini,6.995,1331,127,2371
78910bc1-2962-4844-9e14-69b026cb8afd,Letter D,gpt4o,4.938,1026,126,1152
78910bc1-2962-4844-9e14-69b026cb8afd,Letter C,gpt4o_mini,5.168,25762,123,25885
78910bc1-2962-4844-9e14-69b026cb8afd,Letter A,llama,0.629,325,128,453
78910bc1-2962-4844-9e14-69b026cb8afd,Letter B,gemini,8.13,1377,124,2552
305e764e-a058-4fe1-be1c-17243c4ac82c,Letter D,gpt4o,3.329,1026,138,1164
305e764e-a058-4fe1-be1c-17243c4ac82c,Letter C,gpt4o_mini,4.295,25762,107,25869
305e764e-a058-4fe1-be1c-17243c4ac82c,Letter A,llama,0.704,325,146,471
305e764e-a058-4fe1-be1c-17243c4ac82c,Letter B,gemini,9.233,1377,114,2394
1a082d07-0093-49b6-ab9c-cb13dc526a96,Letter B,gpt4o,3.381,1026,132,1158
1a082d07-0093-49b6-ab9c-cb13dc526a96,Letter D,gpt4o_mini,4.772,25762,125,25887
1a082d07-0093-49b6-ab9c-cb13dc526a96,Letter A,llama,0.692,325,174,499
